Name,Address,IsPU,Authority,Type
IA,0x0101,TRUE,RO,Input
IB,0x0102,TRUE,RO,Input
IC,0x0103,TRUE,RO,Input
Vdc,0x0104,TRUE,RO,Input
angle,0x0105,TRUE,RO,Input
IdFdb,0x0106,TRUE,RO,Input
IqFdb,0x0107,TRUE,RO,Input
SpdFdb,0x0108,TRUE,RO,Input
Vd,0x0109,TRUE,RO,Input
Vq,0x010A,TRUE,RO,Input
Vdq,0x010B,TRUE,RO,Input
InputReserved1,0x010C,TRUE,RO,Input
InputReserved2,0x010D,TRUE,RO,Input
enablePwm,0x0201,FALSE,RW,Register
enableRelay,0x0202,FALSE,RW,Register
IdRef,0x0203,TRUE,RW,Register
IdKp,0x0204,TRUE,RW,Register
IdKi,0x0205,TRUE,RW,Register
IqRef,0x0206,TRUE,RW,Register
IqKp,0x0207,TRUE,RW,Register
IqKi,0x0208,TRUE,RW,Register
SpdRef,0x0209,TRUE,RW,Register
SpdKp,0x020A,TRUE,RW,Register
SpdKi,0x020B,TRUE,RW,Register
Vref,0x020C,TRUE,RW,Register
FreqRef,0x020D,TRUE,RW,Register
RegReserved1,0x020E,TRUE,RW,Register
RegReserved2,0x020F,TRUE,RW,Register
